,name,rating,location,price
0,Catalonia Eixample 1864,8.3,"Roger de Llúria, 60, Eixample, 08009 Barcelona, Spain","€ 1,446"
1,Duquesa Suites Barcelona,8.7,"Plaça Antonio López 5, Ciutat Vella, 08002 Barcelona, Spain","€ 2,031"
2,Hostal Operaramblas,8.6,"Sant Pau, 20, Ciutat Vella, 08001 Barcelona, Spain","€ 1,583"
3,Catalonia Gracia,8.4,"Córcega, 368, Eixample, 08037 Barcelona, Spain","€ 1,366"
4,Praktik Rambla,8.5,"Rambla Catalunya, 27, Eixample, 08007 Barcelona, Spain","€ 1,670"
5,Catalonia Barcelona Plaza,8.3,"Plaza España, 6-8, Sants-Montjuïc, 08014 Barcelona, Spain","€ 2,646"
6,AC Hotel Barcelona Fórum by Marriott,7.9,"Paseo Taulat, 278, Sant Martí, 08019 Barcelona, Spain","€ 1,730"
7,Catalonia Atenas,8.1,"Avenida Meridiana, 151, Sant Martí, 08026 Barcelona, Spain","€ 1,246"
8,Hotel Balmes,8.4,"Mallorca, 216, Eixample, 08008 Barcelona, Spain","€ 1,599"
9,Catalonia Diagonal Centro,8.4,"Balmes, 142 - 146, Eixample, 08008 Barcelona, Spain","€ 1,386"
10,Onix Rambla,8.4,"Rambla Cataluña, 24, Eixample, 08007 Barcelona, Spain","€ 1,486"
11,Catalonia Albeniz,8.6,"Aragón, 591 - 593, Sant Martí, 08026 Barcelona, Spain","€ 1,136"
12,Sallés Hotel Pere IV,8.1,"Pallars, 128-130, Sant Martí, 08018 Barcelona, Spain","€ 1,496"
13,Catalonia Gran Via BCN,8.7,"Gran Via, 550, Eixample, 08011 Barcelona, Spain","€ 1,506"
14,Cram Hotel,8.2,"Aribau, 54, Eixample, 08011 Barcelona, Spain","€ 1,976"
15,Ayre Hotel Gran Vía,8.7,"Gran Vía de les Corts Catalanes 322, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,989"
16,Suites Avenue,9.0,"Passeig de Gracia, 83, Eixample, 08008 Barcelona, Spain","€ 2,123"
17,Catalonia Born,8.6,"Rec Comtal, 16-18, Ciutat Vella, 08003 Barcelona, Spain","€ 1,426"
18,Golden Hotel Barcelona,8.4,"Calle Ávila, 135-139, Sant Martí, 08018 Barcelona, Spain","€ 1,268"
19,Petit Palace Boqueria Garden,8.2,"Boquería, 10, Ciutat Vella, 08002 Barcelona, Spain","€ 2,219"
20,Hotel Casa Sagnier,9.2,"Rambla de Catalunya 104, Eixample, 08008 Barcelona, Spain","€ 2,454"
21,Catalonia Rigoletto,8.5,"Sabino de Arana, 22-24, Les Corts, 08028 Barcelona, Spain","€ 1,266"
22,Hotel & Spa Villa Olimpica Suites,8.0,"Pallars, 121-125, Sant Martí, 08018 Barcelona, Spain","€ 1,282"
23,ICON Bcn,8.9,"Roger De Lluria, 21 (Esq. Gran Via, 662), Eixample, 08037 Barcelona, Spain","€ 2,306"
24,"Claris Hotel & Spa GL, a Small Luxury Hotel of the World",8.4,"Pau Claris, 150, Eixample, 08009 Barcelona, Spain","€ 2,045"
25,Hesperia Barcelona Barri Gòtic,8.0,"Ample, 31, Ciutat Vella, 08002 Barcelona, Spain","€ 1,415"
26,Ciutat Vella,8.2,"Tallers, 66, Ciutat Vella, 08001 Barcelona, Spain","€ 1,558"
27,Ofelias Hotel 4* Sup,8.6,"Llançà, 24, Eixample, 08015 Barcelona, Spain","€ 1,978"
28,Acacia Suite,8.1,"Comte d'Urgell, 194, Eixample, 08036 Barcelona, Spain","€ 1,980"
29,Hesperia Barcelona Presidente,8.4,"Avenida Diagonal, 570, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,440"
30,Catalonia Roma,8.1,"Avenida Roma, 31, Eixample, 08029 Barcelona, Spain","€ 1,436"
31,Ilunion Barcelona,8.3,"Ramon Turró, 196-198, Sant Martí, 08005 Barcelona, Spain","€ 1,558"
32,BCN Urbaness Hotels Del Comte,8.0,"Diputació, 142, Eixample, 08015 Barcelona, Spain","€ 1,378"
33,Hotel HLG CityPark Pelayo,7.2,"Calle Pelayo, 1, Eixample, 08001 Barcelona, Spain","€ 1,266"
34,Ilunion Auditori,8.1,"Sicilia, 166-170, Eixample, 08013 Barcelona, Spain","€ 1,656"
35,Yurbban Passage Hotel & Spa,9.1,"26 Carrer de Trafalgar, Ciutat Vella, 08003 Barcelona, Spain","€ 1,928"
36,Yomo Hostal BCN Port,7.8,"Avinguda Paral·lel, 15, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,340"
37,Ciutat de Barcelona,8.2,"Princesa, 33-35, Ciutat Vella, 08003 Barcelona, Spain","€ 1,459"
38,Travelodge Barcelona Poblenou,7.3,"Llull, 170, Sant Martí, 08005 Barcelona, Spain",€ 942
39,Chic & Basic Velvet,8.1,"Consell de Cent, 74, Eixample, 08015 Barcelona, Spain","€ 1,494"
40,Novotel Barcelona City,8.1,"Avenida Diagonal 201, Sant Martí, 08018 Barcelona, Spain","€ 1,282"
41,Barcelona Apartment Val,8.1,"València, 284, Eixample, 08007 Barcelona, Spain","€ 2,372"
42,Ohla Barcelona,8.9,"Via Laietana, 49, Ciutat Vella, 08003 Barcelona, Spain","€ 3,939"
43,Andante Hotel,8.6,"Avenida de les Drassanes, 23-25, Ciutat Vella, 08001 Barcelona, Spain","€ 1,619"
44,Room Mate Pau,9.2,"Fontanella, 7, Eixample, 08010 Barcelona, Spain","€ 2,470"
45,The Mirror Barcelona,8.3,"Corcega, 255, Eixample, 08036 Barcelona, Spain","€ 1,735"
46,Bcn Urbaness Hotels Gran Rosellon,8.0,"Rosellón, 174-176, Eixample, 08036 Barcelona, Spain","€ 1,512"
47,Hotel Via Augusta,8.5,"Vía Augusta, 63, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,485"
48,"The Hoxton, Poblenou",8.7,"Avenida Diagonal, 205, Sant Martí, 08018 Barcelona, Spain","€ 3,619"
49,Condes de Barcelona,8.8,"Paseo de Gracia, 73, Eixample, 08008 Barcelona, Spain","€ 2,017"
50,Express by gaiarooms,7.1,"Riera De Sant Miquel, 74, Gràcia, 08006 Barcelona, Spain","€ 1,553"
51,AC Hotel Victoria Suites by Marriott,8.4,"Beltran i Ròzpide, 7-9, Les Corts, 08034 Barcelona, Spain","€ 1,668"
52,Hostal Levante Barcelona,7.9,"Baixada de Sant Miquel, 2, Ciutat Vella, 08002 Barcelona, Spain",€ 986
53,The Moods Oasis,8.7,"72 Travessera de Gràcia, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,439"
54,Ilunion Bel-Art,8.0,"Lepanto, 406, Horta-Guinardó, 08025 Barcelona, Spain","€ 1,475"
