,name,rating,location,price
0,Apartment in the center - Chueca,5.5,"3 Calle de Barbieri, Centro, 28004 Madrid, Spain",€ 451
1,Palacio Tirso de Molina - THE ARC COLLECTION,9.4,"8 Plaza de Tirso de Molina, Centro, 28012 Madrid, Spain","€ 1,999"
2,Arenal Suites Puerta del Sol,9.4,"Calle Arenal 8, Centro, 28013 Madrid, Spain","€ 1,343"
3,Hostal Lisboa,8.8,"Ventura de la Vega, 17, Centro, 28014 Madrid, Spain",€ 618
4,Akeah Hotel Gran Vía Adults Only,8.5,"Calle de San Bernardo 48, Centro, 28015 Madrid, Spain",€ 804
5,Hostal Main Street Madrid,9.0,"Gran Vïa 50, 5º, Centro, 28013 Madrid, Spain",€ 515
6,Hotel Mora by MIJ,8.1,"Paseo del Prado, 32, Centro, 28014 Madrid, Spain",€ 572
7,Hotel Princesa Plaza Madrid,8.2,"Princesa, 40, Centro, 28008 Madrid, Spain",€ 792
8,ME Madrid Reina Victoria by Meliá,8.3,"Plaza de Santa Ana, 14, Centro, 28012 Madrid, Spain","€ 1,024"
9,The Madrid EDITION,9.3,"Plaza de Celenque 2, Centro, 28013 Madrid, Spain","€ 1,969"
10,Hostal Central Palace Madrid,9.2,"Plaza de Oriente 2, 3º izquierda, Centro, 28013 Madrid, Spain",€ 686
11,Edificio Leganitos XV,9.0,"15 Calle de Leganitos, Centro, 28013 Madrid, Spain",€ 492
12,One Shot Prado 23,8.3,"Calle del Prado, 23, Centro, 28014 Madrid, Spain",€ 644
13,Hostal Don Alfonso,8.8,"Plaza de Celenque, 1, Centro, 28013 Madrid, Spain",€ 459
14,Hotel Regina,9.2,"Alcala, 19, Centro, 28014 Madrid, Spain","€ 1,210"
15,Bob W Chueca,8.8,"Calle de Fuencarral 45 Floor 4, Centro, 28004 Madrid, Spain",€ 595
16,Hostal Aguilar,9.1,"Carrera San Jerónimo, 32 - 2º, Centro, 28014 Madrid, Spain",€ 600
17,Petit Palace Chueca,8.6,"Hortaleza, 3, Centro, 28004 Madrid, Spain",€ 746
18,Hostal Riesco,8.5,"Correo 2, 3º, Centro, 28012 Madrid, Spain",€ 600
19,Pestana Plaza Mayor Madrid,9.0,"Calle Imperial, 8, Centro, 28012 Madrid, Spain","€ 1,489"
20,Hostal Lauria,9.2,"Gran Via, 50 - 4º, Centro, 28013 Madrid, Spain",€ 567
21,Petit Palace Cliper-Gran Vía,8.4,"Chinchilla, 6, esquina Gran Vía, 29, Centro, 28013 Madrid, Spain",€ 776
22,"Hotel Urban,a Member of Design Hotels",8.8,"Carrera San Jerónimo, 34, Centro, 28014 Madrid, Spain","€ 1,126"
23,CoolRooms Palacio de Atocha,9.4,"34 Calle de Atocha, Centro, 28012 Madrid, Spain","€ 1,212"
24,Hotel Meninas - Boutique Opera,8.4,"Campomanes, 7, Centro, 28013 Madrid, Spain",€ 678
25,Hostal Esmeralda,8.4,"De la Victoria, 1, Centro, 28012 Madrid, Spain",€ 540
26,Apartamentos Puerta Del Sol,8.2,"Cádiz, 3, Centro, 28012 Madrid, Spain",€ 600
27,Hostal Esparteros,8.1,"12 Calle de Esparteros, Centro, 28012 Madrid, Spain",€ 521
28,Hostal Rías Bajas,8.5,"San Bernardo 35 1º-Izda, Centro, 28015 Madrid, Spain",€ 637
29,Soho Boutique Opera,8.6,"Calle Veneras, 2, Centro, 28013 Madrid, Spain",€ 741
30,Hotel Infantas by MIJ,8.3,"Infantas, 29, Centro, 28004 Madrid, Spain",€ 748
31,"URSO Hotel & Spa, a Small Luxury Hotel of the World",9.1,"Mejía Lequerica, 8, Centro, 28004 Madrid, Spain","€ 1,500"
32,Soho Boutique Congreso,8.6,"7 Calle de Zorrilla, Centro, 28014 Madrid, Spain",€ 741
33,Arenal Suites Gran Vía,9.1,"Calle Silva 14, Centro, 28004 Madrid, Spain","€ 1,113"
34,Hyatt Centric Gran Via Madrid,8.9,"Gran Via, 31, Centro, 28013 Madrid, Spain","€ 1,153"
35,II Castillas Madrid,8.7,"Abada, 7, Centro, 28013 Madrid, Spain",€ 791
36,Hostal Abami II,8.4,"San Bernardo, 35 - 2º, Centro, 28015 Madrid, Spain",€ 572
37,Edificio Leganitos,7.8,"15 Calle de Leganitos, Centro, 28013 Madrid, Spain",€ 480
38,Hostal Abril Madrid,8.3,"Fuencarral 39, 4 Derecha, Centro, 28004 Madrid, Spain",€ 427
39,Hostal Adis,8.7,"De la puebla, 14 Planta 1, Centro, 28004 Madrid, Spain",€ 565
40,Aparthotel Tribunal,7.5,"San Vicente Ferrer, 1, Centro, 28004 Madrid, Spain",€ 671
41,Fuencarral Adeco,8.5,"Fuencarral, 27, 2ª planta , Centro, 28004 Madrid, Spain",€ 522
42,Hostal Comercial,7.5,"Esparteros, 12, Centro, 28012 Madrid, Spain",€ 464
43,JC Rooms Chueca,8.3,"Calle Infantas  5, Centro, 28004 Madrid, Spain",€ 443
44,Hostal Met Madrid,9.1,"Costanilla De Santiago 2, 2º, Centro, 28013 Madrid, Spain",€ 802
45,Gran Central Suites,8.1,"Calle Minas 12, Centro, 28004 Madrid, Spain",€ 916
46,Hostal Adriano,8.3,"De la Cruz, 26  4º piso, Centro, 28012 Madrid, Spain",€ 533
47,JC Rooms Santo Domingo,7.8,"Cuesta de Santo Domingo, 16, Centro, 28013 Madrid, Spain",€ 443
48,Hotel Los Condes,8.5,"Libreros, 7, Centro, 28004 Madrid, Spain",€ 697
49,Hostal Alexis Madrid,8.7,"Principe, 18. Piso 4 Derecha, Centro, 28012 Madrid, Spain",€ 495
50,JC Rooms Santo Domingo,7.8,"Cuesta de Santo Domingo, 16, Centro, 28013 Madrid, Spain",€ 443
51,Hostal Adriano,8.3,"De la Cruz, 26  4º piso, Centro, 28012 Madrid, Spain",€ 533
52,Hostal Met Madrid,9.1,"Costanilla De Santiago 2, 2º, Centro, 28013 Madrid, Spain",€ 802
53,Hostal Cervantes,8.0,"Cervantes, 34 2º Planta, Centro, 28014 Madrid, Spain",€ 335
54,JC Rooms Chueca,8.3,"Calle Infantas  5, Centro, 28004 Madrid, Spain",€ 443
55,Hostal Comercial,7.5,"Esparteros, 12, Centro, 28012 Madrid, Spain",€ 464
56,Gran Central Suites,8.1,"Calle Minas 12, Centro, 28004 Madrid, Spain",€ 887
57,Hola Rooms,8.8,"Calle de la Espada, 6, Centro, 28012 Madrid, Spain",€ 466
58,Hotel Los Condes,8.5,"Libreros, 7, Centro, 28004 Madrid, Spain",€ 689
59,Porcel Ganivet,8.4,"Toledo, 111, Centro, 28005 Madrid, Spain",€ 525
60,Hostal Alexis Madrid,8.7,"Principe, 18. Piso 4 Derecha, Centro, 28012 Madrid, Spain",€ 495
61,Arenal Suites Preciados,9.1,"Calle Preciados 33 * Planta 3º, Centro, 28013 Madrid, Spain",€ 595
62,Urban Sea Hotel Atocha 113,7.9,"Atocha, 113, Centro, 28012 Madrid, Spain",€ 519
63,Marina Rooms,8.5,"Calle de Carretas 27 , 2 izquerda, Centro, 28012 Madrid, Spain",€ 490
64,Minty Stay - Valverde,7.3,"Calle Valverde 19, Esc Int, 3 drcha, Centro, 28004 Madrid, Spain",€ 553
65,Hostal Inn Madrid,8.6,"Mesonero Romanos, 10 Planta 4, Centro, 28013 Madrid, Spain",€ 650
66,Vincci The Mint,9.1,"Gran Vía 10, Centro, 28013 Madrid, Spain","€ 1,091"
67,Hostal del Pez Azul,8.4,"Pez, 9, Centro, 28004 Madrid, Spain",€ 459
68,Room Mate Macarena – Gran Vía,8.9,"43 Calle Gran Vía, Centro, 28013 Madrid, Spain",€ 780
69,limehome Madrid Calle de la Madera - Self check-in only,8.4,"25 Calle de la Madera, Centro, 28004 Madrid, Spain",€ 804
70,Plaza Mayor Suites & Apartments,9.0,"4 Calle Salvador, Centro, 28012 Madrid, Spain",€ 720
71,Bloom Inn Madrid,8.5,"14 Calle de la Puebla, Planta 4, Centro, 28004 Madrid, Spain",€ 641
72,Boutique Hotel H10 Villa de la Reina,8.5,"Gran Vía, 22, Centro, 28013 Madrid, Spain",€ 700
73,Gran Via 63 Rooms,7.4,"Gran Via 63, 5ª Planta, Centro, 28013 Madrid, Spain",€ 627
74,Collection La Latina,7.1,"19 Calle Águila, Centro, 28005 Madrid, Spain",€ 685
75,Charming&New apt 2hab en el centro de Madrid,8.0,"19 Calle de Calatrava, Centro, 28005 Madrid, Spain","€ 1,319"
76,Hostal Adria Santa Ana,8.1,"Nuñez de Arce, 15, 3º Exterior, Centro, 28012 Madrid, Spain",€ 542
77,Minty Stay - Hortaleza Studio,8.4,"calle hortaleza 96, 4ºF, Centro, 28004 Madrid, Spain",€ 549
78,Hostal La Casa de La Plaza,7.4,"Plaza de San Miguel, 5, Centro, 28005 Madrid, Spain",€ 409
79,Chic & Basic dot,8.8,"5 Calle del Maestro Victoria, Centro, 28013 Madrid, Spain",€ 699
80,Vincci Capitol,8.6,"Gran Vía, 41, Centro, 28013 Madrid, Spain","€ 1,003"
81,Vincci Soho,8.6,"Calle del Prado, 18, Centro, 28014 Madrid, Spain","€ 1,003"
82,Ok Hostel Madrid,8.9,"Calle Juanelo, 24, Centro, 28012 Madrid, Spain",€ 728
83,Madrid 1915 Private Suites,9.4,"3 Calle de los Milaneses, Centro, 28013 Madrid, Spain",€ 797
84,Jc Rooms Jardines,8.3,"3 Calle Jardines, Centro, 28013 Madrid, Spain",€ 443
85,Casón del Tormes,8.6,"Del Río, 7, Centro, 28013 Madrid, Spain",€ 714
86,Apartamento al lado de Gran Via - Pink,9.3,"Calle del Desengano 14 3D, Centro, 28004 Madrid, Spain",€ 763
87,Hotel Avenida Gran Vía,7.5,"Mesonero Romanos, 14 (corner of Gran Vía, 33), Centro, 28013 Madrid, Spain",€ 720
88,Hotel Mediodia,8.5,"Plaza del Emperador Carlos V, 8, Centro, 28012 Madrid, Spain",€ 441
89,Apartamentos Mayor Centro,8.2,"Esparteros, 6 , Centro, 28012 Madrid, Spain",€ 520
90,Eurostars Central,8.4,"Mejía Lequerica, 10, Centro, 28004 Madrid, Spain",€ 523
91,Apartments Center Madrid,7.8,"Calle de los Jardines 16, Centro, 28013 Madrid, Spain",€ 436
92,L&H La Latina Selection,9.0,"Calle Calatrava 17, Centro, 28005 Madrid, Spain",€ 823
93,Hostal Abel Victoriano,8.3,"San Bernardo, 55, Centro, 28015 Madrid, Spain",€ 617
94,Casa de Huespedes Dolce Vita,7.7,"San Bartolome, 4, Centro, 28004 Madrid, Spain",€ 292
95,S42 Estudio en Madrid Centro con Wifi,7.9,"42 Calle del Salitre 2º 2, Centro, 28012 Madrid, Spain",€ 374
96,Palacio de los Duques Gran Meliá - The Leading Hotels of the World,9.2,"Cuesta Santo Domingo, 5 y 7, Centro, 28013 Madrid, Spain","€ 2,180"
97,Hostal La Zona,8.7,"Valverde,  7, 1º, Centro, 28004 Madrid, Spain",€ 597
98,Gran Hotel Inglés - The Leading Hotels of the World,9.4,"Calle Echegaray 08, Centro, 28014 Madrid, Spain","€ 2,197"
99,Gran View Apartments,8.6,"Calle Gran Vía 48, Centro, 28013 Madrid, Spain",€ 920
100,piso en lavapies 3 dormitorios 8 personas,,"AVE MARIA, 40, Centro, 28012 Madrid, Spain","€ 1,144"
101,Santa Ana´s Charming Flat,8.7,"Calle de Núñez de Arce 14, 1C, Centro, 28012 Madrid, Spain",€ 580
102,Hostal Esmeralda,8.4,"De la Victoria, 1, Centro, 28012 Madrid, Spain",€ 540
103,NEW AND COZY-STUDIO-CHUECA,9.1,"37 Calle de Hortaleza 2º 13, Centro, 28004 Madrid, Spain",€ 601
104,Hostal Lauria,9.2,"Gran Via, 50 - 4º, Centro, 28013 Madrid, Spain",€ 567
105,APARTAMENTOS SAN ANDRES,7.8,"4 Calle de los Mancebos, Centro, 28005 Madrid, Spain",€ 462
106,Oriente Palace Apartments,8.9,"Calle de Lepanto 6, Centro, 28013 Madrid, Spain",€ 740
107,Estudio Lorenzo Acogedor,7.5,"Calle de San Lorenzo, Centro, 28004 Madrid, Spain",€ 409
108,CoolRooms Palacio de Atocha,9.4,"34 Calle de Atocha, Centro, 28012 Madrid, Spain","€ 1,212"
109,Four Seasons Hotel Madrid,9.4,"Sevilla, 3, Centro, 28014 Madrid, Spain","€ 3,964"
