,name,rating,location,price
0,Hostal Silserranos,8.6,"Fuencarral, 95, Centro, 28004 Madrid, Spain",€ 790
1,Akeah Hotel Gran Vía Adults Only,8.5,"Calle de San Bernardo 48, Centro, 28015 Madrid, Spain","€ 1,105"
2,7 Islas Hotel,9.0,"Valverde, 14, Centro, 28004 Madrid, Spain",€ 982
3,Hotel Santo Domingo,7.4,"Calle San Bernardo 1, Centro, 28013 Madrid, Spain",€ 938
4,Hostal Goyal Pizarro,8.0,"Pizarro, 14, Centro, 28004 Madrid, Spain",€ 584
5,Oriente Palace Apartments,8.9,"Calle de Lepanto 6, Centro, 28013 Madrid, Spain",€ 988
6,Room Mate Alba,9.2,"16 Calle de las Huertas, Centro, 28012 Madrid, Spain","€ 1,431"
7,Hostal Riesco,8.5,"Correo 2, 3º, Centro, 28012 Madrid, Spain",€ 750
8,Hotel Mora by MIJ,8.1,"Paseo del Prado, 32, Centro, 28014 Madrid, Spain",€ 880
9,Hotel Princesa Plaza Madrid,8.2,"Princesa, 40, Centro, 28008 Madrid, Spain","€ 1,296"
10,Petit Palace Cliper-Gran Vía,8.4,"Chinchilla, 6, esquina Gran Vía, 29, Centro, 28013 Madrid, Spain","€ 1,034"
11,Apartamentos Puerta del Sol-Rastro,8.0,"Ribera de Curtidores, 29, Centro, 28005 Madrid, Spain",€ 660
12,Hotel Life Gran Via,7.1,"Pizarro, 16, Centro, 28004 Madrid, Spain",€ 844
13,Hotel Infantas by MIJ,8.3,"Infantas, 29, Centro, 28004 Madrid, Spain",€ 937
14,Hostal Esmeralda,8.4,"De la Victoria, 1, Centro, 28012 Madrid, Spain",€ 610
15,Gran Central Suites,8.1,"Calle Minas 12, Centro, 28004 Madrid, Spain","€ 1,020"
16,Apartment in the Centre,8.7,"Apodaca, 5, Centro, 28010 Madrid, Spain",€ 965
17,Hostal Rías Bajas,8.5,"San Bernardo 35 1º-Izda, Centro, 28015 Madrid, Spain",€ 689
18,The Madrid EDITION,9.3,"Plaza de Celenque 2, Centro, 28013 Madrid, Spain","€ 2,971"
19,Petit Palace Chueca,8.6,"Hortaleza, 3, Centro, 28004 Madrid, Spain","€ 1,095"
20,ME Madrid Reina Victoria by Meliá,8.3,"Plaza de Santa Ana, 14, Centro, 28012 Madrid, Spain","€ 1,739"
21,Bob W Chueca,8.8,"Calle de Fuencarral 45 Floor 4, Centro, 28004 Madrid, Spain",€ 760
22,Hotel Regina,9.2,"Alcala, 19, Centro, 28014 Madrid, Spain","€ 1,757"
23,Hostal Meyra,8.2,"Fuencarral, 39 4º Izda, Centro, 28004 Madrid, Spain",€ 700
24,Apartamentos Cava Baja,8.8,"Calle Grafal 4, Centro, 28005 Madrid, Spain","€ 1,098"
25,Hostal Esparteros,8.1,"12 Calle de Esparteros, Centro, 28012 Madrid, Spain",€ 718
26,Apartment in the Centre,8.7,"Apodaca, 5, Centro, 28010 Madrid, Spain",€ 950
27,Hostal Adis,8.7,"De la puebla, 14 Planta 1, Centro, 28004 Madrid, Spain",€ 736
28,Piso en Calle Caravaca,6.2,"Calle de Caravaca, Centro, 28012 Madrid, Spain",€ 445
29,Hostal Abami II,8.4,"San Bernardo, 35 - 2º, Centro, 28015 Madrid, Spain",€ 749
30,CoolRooms Palacio de Atocha,9.4,"34 Calle de Atocha, Centro, 28012 Madrid, Spain","€ 1,766"
31,Only YOU Boutique Hotel Madrid,9.1,"Barquillo, 21, Centro, 28004 Madrid, Spain","€ 1,987"
32,Santa Ana 1 precioso apartamento en el centro de Madrid,10,"7 Calle de Manuel Fernández y González 3C, Centro, 28014 Madrid, Spain",€ 549
33,AB Design Suites,7.2,"Pez, 19, Centro, 28004 Madrid, Spain","€ 1,189"
34,Edificio Leganitos,7.8,"15 Calle de Leganitos, Centro, 28013 Madrid, Spain",€ 699
35,LUCIENTE,10,"5 Calle de Luciente, Centro, 28005 Madrid, Spain",€ 765
36,Cool/SoHo Style apt para 9pax C/Luciente,,"9 Calle de Luciente, Centro, 28005 Madrid, Spain","€ 2,327"
37,Hostal Abril Madrid,8.3,"Fuencarral 39, 4 Derecha, Centro, 28004 Madrid, Spain",€ 623
38,Hostal Don Alfonso,8.8,"Plaza de Celenque, 1, Centro, 28013 Madrid, Spain",€ 852
39,Aparthotel Tribunal,7.5,"San Vicente Ferrer, 1, Centro, 28004 Madrid, Spain","€ 1,058"
40,Apartment in the historical Plaza de la Villa,,"1 Plaza de la Villa, Centro, 28005 Madrid, Spain",€ 964
41,Hostal Abaaly,7.3,"Plaza de San Miguel, 5 - 1º Dcha, Centro, 28005 Madrid, Spain",€ 434
42,Hotel Los Condes,8.5,"Libreros, 7, Centro, 28004 Madrid, Spain","€ 1,011"
43,Arenal Suites Preciados,9.1,"Calle Preciados 33 * Planta 3º, Centro, 28013 Madrid, Spain",€ 785
44,Hostal Abel Victoriano,8.3,"San Bernardo, 55, Centro, 28015 Madrid, Spain",€ 618
45,Soho Boutique Opera,8.6,"Calle Veneras, 2, Centro, 28013 Madrid, Spain","€ 1,343"
46,Apartamentos Centro Colón,8.3,"Marqués de la Ensenada 16, Centro, 28004 Madrid, Spain",€ 880
47,Hostal La Zona,8.7,"Valverde,  7, 1º, Centro, 28004 Madrid, Spain",€ 752
48,Hostal San Martin,8.4,"Concepcion Arenal, 4, 4º, Centro, 28004 Madrid, Spain",€ 380
49,Hyatt Centric Gran Via Madrid,8.9,"Gran Via, 31, Centro, 28013 Madrid, Spain","€ 1,627"
50,Hostal San Martin,8.4,"Concepcion Arenal, 4, 4º, Centro, 28004 Madrid, Spain",€ 380
51,Hostal Abel Victoriano,8.3,"San Bernardo, 55, Centro, 28015 Madrid, Spain",€ 628
52,Apartamentos Centro Colón,8.3,"Marqués de la Ensenada 16, Centro, 28004 Madrid, Spain",€ 880
53,Apartment in the historical Plaza de la Villa,,"1 Plaza de la Villa, Centro, 28005 Madrid, Spain",€ 964
54,"URSO Hotel & Spa, a Small Luxury Hotel of the World",9.1,"Mejía Lequerica, 8, Centro, 28004 Madrid, Spain","€ 2,304"
55,Hostal Inn Madrid,8.6,"Mesonero Romanos, 10 Planta 4, Centro, 28013 Madrid, Spain",€ 790
56,Soho Boutique Opera,8.6,"Calle Veneras, 2, Centro, 28013 Madrid, Spain","€ 1,256"
57,Hostal La Zona,8.7,"Valverde,  7, 1º, Centro, 28004 Madrid, Spain",€ 772
58,Porcel Ganivet,8.4,"Toledo, 111, Centro, 28005 Madrid, Spain",€ 785
